"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"TSLA","TESLA INC","06/06/2025","06/06/2025","500","$275.58","$279.47","$137,787.67","$139,733.65","-$1,945.98","-1.412303437601%","","-$1,945.98","Short Term","$139,733.65","No","","06/05/2025","","","","","","",""
"HIMS","HIMS & HERS HEALTH I A","05/27/2025","05/27/2025","1,000","$55.57","$55.48","$55,569.83","$55,479.90","$89.93","0.162094740618%","","$89.93","Short Term","$55,479.90","No","","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.53","$125.30","$62,764.92","$62,650.00","$114.92","0.183431763767%","","$114.92","Short Term","$62,650.00","No","","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.36","$125.39","$62,679.92","$62,694.95","$0.00","0%","","$0.00","Short Term","$62,694.95","Yes","$15.03","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.88","$125.49","$62,939.97","$62,742.53","$197.44","0.31468287938%","","$197.44","Short Term","$62,742.53","No","","05/27/2025","$62,727.50","$212.47","0.338719062612%","","","$212.47","0.3387190626120936%"
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","1,000","$127.05","$127.16","$127,049.93","$127,155.00","-$105.07","-0.082631434077%","","-$105.07","Short Term","$127,155.00","No","","05/27/2025","","","","","","",""
"HIMS","HIMS & HERS HEALTH I A","05/13/2025","05/13/2025","1,000","$62.07","$61.80","$62,069.93","$61,800.00","$269.93","0.436779935275%","","$269.93","Short Term","$61,800.00","No","","05/13/2025","","","","","","",""
"NVDA","NVIDIA CORP","05/13/2025","05/13/2025","500","$130.84","$130.70","$65,422.37","$65,350.00","$72.37","0.110742157613%","","$72.37","Short Term","$65,350.00","No","","05/13/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/13/2025","05/13/2025","1,000","$125.66","$124.97","$125,660.03","$124,975.00","$685.03","0.548133626725%","","$685.03","Short Term","$124,975.00","No","","05/13/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/03/2025","04/03/2025","800","$108.13","$108.44","$86,504.35","$86,751.32","-$246.97","-0.285500093348%","","-$246.97","Short Term","$86,751.32","No","","04/02/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/02/2025","04/02/2025","1,000","$108.54","$108.78","$108,537.21","$108,780.00","$0.00","0%","","$0.00","Short Term","$108,780.00","Yes","$242.79","04/02/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/02/2025","04/02/2025","1,000","$109.21","$109.16","$109,206.79","$109,162.79","$44.00","0.040306774863%","","$44.00","Short Term","$109,162.79","No","","04/02/2025","$108,920.00","$286.79","0.263303341902%","","","$286.79","0.26330334190230814%"
"PLTR","PALANTIR TECHNOLOGIE A","04/02/2025","04/02/2025","1,000","$86.92","$86.42","$86,917.41","$86,419.61","$497.80","0.576026668021%","","$497.80","Short Term","$86,419.61","No","","04/02/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","04/02/2025","04/02/2025","1,000","$87.27","$86.94","$87,272.40","$86,938.43","$333.97","0.384145423376%","","$333.97","Short Term","$86,938.43","No","","04/02/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/01/2025","04/01/2025","1,000","$109.20","$108.38","$109,201.79","$108,376.90","$824.89","0.761130831386%","","$824.89","Short Term","$108,376.90","No","","04/01/2025","","","","","","",""
"NET 03/28/2025 135.00 C","CALL CLOUDFLARE INC $135 EXP 03/28/25","03/28/2025","03/25/2025","5","$0.00","$0.31","$0.00","$153.30","-$153.30","-100%","","-$153.30","Short Term","$153.30","No","","03/28/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","12/20/2024","0.3","$83.01","$77.45","$24.92","$23.25","$1.67","7.182795698925%","","$1.67","Short Term","$23.25","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","09/27/2024","0.32","$83.00","$72.52","$26.52","$23.17","$3.35","14.458351316357%","","$3.35","Short Term","$23.17","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","06/28/2024","0.39","$83.00","$59.92","$31.97","$23.08","$8.89","38.518197573657%","","$8.89","Short Term","$23.08","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","03/28/2024","0.33","$83.01","$62.97","$27.80","$21.09","$6.71","31.816026552869%","","$6.71","Short Term","$21.09","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","12/26/2023","0.37","$83.01","$57.10","$30.53","$21.00","$9.53","45.380952380952%","$9.53","","Long Term","$21.00","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","10/02/2023","0.43","$83.01","$48.28","$35.95","$20.91","$15.04","71.927307508369%","$15.04","","Long Term","$20.91","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","07/03/2023","0.42","$82.99","$49.82","$34.68","$20.82","$13.86","66.57060518732%","$13.86","","Long Term","$20.82","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","03/31/2023","0.35","$82.99","$54.20","$28.88","$18.86","$10.02","53.128313891835%","$10.02","","Long Term","$18.86","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","12/16/2022","0.31","$82.99","$61.01","$25.56","$18.79","$6.77","36.029803086748%","$6.77","","Long Term","$18.79","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","09/30/2022","0.33","$82.98","$57.63","$26.97","$18.73","$8.24","43.993593166044%","$8.24","","Long Term","$18.73","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","06/24/2022","0.35","$82.99","$52.71","$29.38","$18.66","$10.72","57.449088960343%","$10.72","","Long Term","$18.66","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","03/25/2022","0.29","$82.99","$58.13","$23.90","$16.74","$7.16","42.771804062127%","$7.16","","Long Term","$16.74","No","","03/03/2025","","","","","","",""
"NDAQ","NASDAQ INC","03/03/2025","12/31/2021","93","$83.00","$70.31","$7,718.77","$6,539.08","$1,179.69","18.04061121748%","$1,179.69","","Long Term","$6,539.08","No","","03/03/2025","","","","","","",""
"ABR","ARBOR RLTY TR INC REIT","02/24/2025","02/24/2025","1","$12.62","$12.58","$12.62","$12.58","$0.04","0.316957210777%","","$0.04","Short Term","$12.58","No","","02/21/2025","","","","","","",""
"BABA","ALIBABA GROUP HLDG L ADR","02/21/2025","02/21/2025","300","$143.94","$143.75","$43,182.25","$43,125.00","$57.25","0.132753623188%","","$57.25","Short Term","$43,125.00","No","","02/21/2025","","","","","","",""
"BABA","ALIBABA GROUP HLDG L ADR","02/21/2025","02/14/2025","120","$143.94","$125.00","$17,272.90","$15,000.00","$2,272.90","15.152666666667%","","$2,272.90","Short Term","$15,000.00","No","","02/21/2025","","","","","","",""
"BABA","ALIBABA GROUP HLDG L ADR","02/21/2025","02/21/2025","200","$143.75","$143.75","$28,749.17","$28,750.00","-$0.83","-0.002886956522%","","-$0.83","Short Term","$28,750.00","No","","02/21/2025","","","","","","",""
"SHOP","SHOPIFY INC A","02/21/2025","02/10/2025","100","$120.61","$121.53","$12,061.14","$12,153.42","-$92.28","-0.759292446077%","","-$92.28","Short Term","$12,153.42","No","","02/21/2025","","","","","","",""
"APPS","DIGITAL TURBINE INC","02/06/2025","02/06/2025","500","$4.34","$4.85","$2,170.26","$2,424.60","-$254.34","-10.489977728285%","","-$254.34","Short Term","$2,424.60","No","","02/06/2025","","","","","","",""
"BBAI","BIGBEAR AI HLDGS INC","02/06/2025","02/06/2025","250","$7.14","$7.29","$1,785.26","$1,822.50","-$37.24","-2.043347050754%","","-$37.24","Short Term","$1,822.50","No","","02/06/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","02/04/2025","02/03/2025","150","$102.98","$82.13","$15,446.54","$12,319.50","$3,127.04","25.382848329884%","","$3,127.04","Short Term","$12,319.50","No","","02/04/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","02/04/2025","09/15/2021","8","$102.98","$26.80","$823.82","$214.36","$609.46","284.3161037507%","$609.46","","Long Term","$214.36","No","","02/04/2025","","","","","","",""
"SNAP","SNAP INC A","02/04/2025","02/04/2025","1,100","$11.58","$11.51","$12,742.97","$12,661.00","$81.97","0.647421214754%","","$81.97","Short Term","$12,661.00","No","","02/04/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","12/31/2024","0.07","$82.00","$81.43","$5.74","$5.70","$0.04","0.701754385965%","","$0.04","Short Term","$5.70","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","10/02/2024","0.07","$81.92","$69.24","$5.62","$4.75","$0.87","18.315789473684%","","$0.87","Short Term","$4.75","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","07/03/2024","0.08","$81.89","$77.36","$6.15","$5.81","$0.34","5.851979345955%","","$0.34","Short Term","$5.81","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","03/28/2024","0.07","$81.91","$61.71","$5.84","$4.40","$1.44","32.727272727273%","","$1.44","Short Term","$4.40","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","12/29/2023","0.09","$81.94","$51.35","$7.26","$4.55","$2.71","59.56043956044%","$2.71","","Long Term","$4.55","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","09/28/2023","0.08","$81.98","$34.69","$6.64","$2.81","$3.83","136.298932384342%","$3.83","","Long Term","$2.81","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","06/29/2023","0.07","$81.86","$39.33","$5.37","$2.58","$2.79","108.139534883721%","$2.79","","Long Term","$2.58","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","03/29/2023","0.12","$81.90","$25.95","$9.50","$3.01","$6.49","215.614617940199%","$6.49","","Long Term","$3.01","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","12/30/2022","0.12","$81.88","$16.75","$9.58","$1.96","$7.62","388.775510204082%","$7.62","","Long Term","$1.96","No","","01/29/2025","","","","","","",""
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","01/29/2025","11/19/2021","20","$81.92","$88.60","$1,638.35","$1,772.00","-$133.65","-7.542325056433%","-$133.65","","Long Term","$1,772.00","No","","01/29/2025","","","","","","",""
